P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,P_PERIOD,P_FLUX,P_TEMP_EQUIL,S_MASS,S_RADIUS,S_TEMPERATURE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_HABITABLE
13.766628,317.828,2.35,1882,0.005032323,67.835442,0.65,0.53,3241,0.027768761,0.1366875,0.35920439,0
12.895227,1404.7998,0.11,15.76491,31.682692,604.25472,0.93,0.77,5182,0.38305376,0.4804021,1.1534269,0
1.58061,4.9104426,0.0188,1.2089819,323.76833,1080.6959,0.61,0.6,4340,0.11443268,0.27194066,0.67694452,0
1.24431,0.83906593,0.03925,3.6480957,74.279803,747.93283,0.61,0.6,4340,0.11443268,0.27194066,0.67694452,0
2.0178,4.0395939,0.05591,6.2014698,36.607585,626.66823,0.61,0.6,4340,0.11443268,0.27194066,0.67694452,0
3.6644504,13.021413,0.039435,3.822,41.150537,643.82288,0.56,0.56,3879,0.063612698,0.20507739,0.52221126,0
2.235976,5.6287339,0.0905,13.8508,6.4007791,394.75053,0.52,0.51,3805,0.048848096,0.17995353,0.45993591,0
2.4643939,6.639427,0.0917,15.5314,3.39381,345.4083,0.42,0.42,3663,0.028453448,0.13765897,0.35434478,0
14.78599,166.8597,0.05561,4.4652998,507.17673,1209.0235,1.15,1.17,5980,1.5684299,0.92841468,2.1763687,0
4.36069,23.398498,0.05254,4.8878024,80.280654,755.69713,0.81,0.68,4780,0.21628085,0.36789766,0.89762388,0
13.486643,506.99605,4.13,3407,0.015864845,83.365778,0.81,0.68,4780,0.21628085,0.36789766,0.89762388,0
10.75039,67.061709,0.0384,3.2130598,139.19835,875.09143,0.73,0.7,4650,0.20525632,0.36029839,0.88410356,0
14.25912,270.47163,0.04267557,2.91625,1222.7384,1506.4818,1.22,1.56,5653,2.2266594,1.1282199,2.6672558,0
12.246714,4538.5839,1.220941,446.27,1.9919849,272.95182,1.22,1.56,5653,2.2266594,1.1282199,2.6672558,0
15.9182,1093.3283,0.0751911,4.62767,1002.1155,1430.1579,2.65,1.82,6600,5.6312806,1.6952652,3.9294841,0
11.8826,616.58633,0.095974547,10.8635,109.02472,817.59968,1,1.07,5568,0.98594595,0.75449372,1.7881952,0
14.44969,1332.6528,0.0413,2.77596,1162.1769,1487.1589,1.22,1.24,6158,1.9810286,1.0321391,2.4102123,0
11.7705,184.34024,0.092546544,10.33852,64.017148,703.3723,0.99,0.87,5246,0.51361807,0.55442155,1.3280555,0
13.044953,1080.6152,5.6,5584,0.017786558,90.240865,0.99,0.87,5246,0.51361807,0.55442155,1.3280555,0
11.15395,62.612117,0.0559,5.508023,86.13418,775.1085,0.77,0.75,4803,0.2682017,0.40928208,0.99761415,0
